tipus de centre,Universitat responsable,Branca,Estudi,Codi estudi,Unitat responsable,Codi unitat,"Curs
 acadèmic",Sexe,NOU INGRÉS,MATRICULATS,TITULATS,ZACH & ANNA INTERESTED DATASET
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,PREVENCIÓ I GESTIÓ DE RISCOS A LA COMUNITAT,DGU000000513,ESCOLA DE PREVENCIÓ I SEGURETAT INTEGRAL,22080711351,10-11,HOME,16,16,14,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,ARXIVÍSTICA I GESTIÓ DE DOCUMENTS,DGU000000862,ESCOLA SUPERIOR D'ARXIVÍSTICA I GESTIÓ DE DOCUMENTS,22080712631,10-11,DONA,36,36,10,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,ARXIVÍSTICA I GESTIÓ DE DOCUMENTS,DGU000000862,ESCOLA SUPERIOR D'ARXIVÍSTICA I GESTIÓ DE DOCUMENTS,22080712631,10-11,HOME,34,34,6,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ D'EMPRESES INDUSTRIALS,DGU000000605,ESCOLA UNIVERSITÀRIA SALESIANS DE SARRIÀ,22080701061,10-11,DONA,4,4,4,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT AUTÒNOMA DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ D'EMPRESES INDUSTRIALS,DGU000000605,ESCOLA UNIVERSITÀRIA SALESIANS DE SARRIÀ,22080701061,10-11,HOME,16,16,15,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ HOTELERA I DE RESTAURACIÓ,DGU000000411,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,10-11,DONA,39,42,36,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,DIRECCIÓ HOTELERA I DE RESTAURACIÓ,DGU000000411,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,10-11,HOME,20,21,16,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,GESTIÓ ESTRATÈGICA D'EMPRESES TURÍSTIQUES,DGU000000409,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,10-11,DONA,50,51,45,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE BARCELONA,Ciències socials i jurídiques,GESTIÓ ESTRATÈGICA D'EMPRESES TURÍSTIQUES,DGU000000409,ESCOLA UNIVERSITÀRIA D'HOTELERIA I TURISME CETT,4080703011,10-11,HOME,17,19,14,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,DIRECTOR ESPORTIU,DGU000000716,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,10-11,DONA,0,9,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,DIRECTOR ESPORTIU,DGU000000716,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,10-11,HOME,0,30,0,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,DRET ESPORTIU,DGU000000363,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,10-11,DONA,0,10,4,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,DRET ESPORTIU,DGU000000363,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,10-11,HOME,0,32,17,#N/A
"Adscrit, vinculat o associat",UNIVERSITAT DE LLEIDA,Ciències socials i jurídiques,GESTIÓ ESPORTIVA,DGU000000733,INSTITUT NACIONAL D'EDUCACIÓ FÍSICA DE CATALUNYA A LLEIDA,44250063061,10-11,DONA,0,11,8,#N/A
